school_type,average_act
Regular School,20.8
Regular School,23.0586080586081
Regular School,21.0
Regular School,20.3968253968254
Regular School,19.7
Regular School,20.982905982906
Regular School,18.3699633699634
Regular School,15.6105006105006
Regular School,22.8388278388278
Regular School,19.7374847374847
Regular School,15.4395604395604
Regular School,21.0
Regular School,19.7
Regular School,20.9340659340659
Regular School,21.984126984127
Regular School,18.003663003663
Regular School,15.6349206349206
Regular School,18.4432234432234
Regular School,23.0
Regular School,15.8058608058608
Regular School,22.5213675213675
Regular School,20.6
Regular School,21.3003663003663
Regular School,22.2
Regular School,21.4957264957265
Regular School,17.4175824175824
Regular School,17.8083028083028
Regular School,21.031746031746
Regular School,23.1318681318681
Regular School,22.6678876678877
Regular School,20.0
Regular School,20.7142857142857
Regular School,18.0
Regular School,20.0
Regular School,20.6654456654457
Regular School,20.4212454212454
Regular School,20.1965811965812
Regular School,21.6422466422466
Regular School,22.1
Regular School,20.5
Regular School,17.6
Regular School,19.1025641025641
Regular School,18.0769230769231
Regular School,16.4
Regular School,17.026862026862
Regular School,22.960927960928
Regular School,21.3980463980464
Regular School,21.6
Regular School,24.0
Regular School,22.9
Regular School,20.1
Regular School,18.1
Regular School,23.3272283272283
Regular School,19.0
Regular School,21.4957264957265
Regular School,21.0
Regular School,20.032967032967
Regular School,22.4725274725275
Regular School,22.2283272283272
Regular School,17.8
Regular School,21.0
Regular School,19.5
Regular School,20.7875457875458
Regular School,21.1
Regular School,21.8
Regular School,15.1221001221001
Regular School,22.008547008547
Regular School,22.1
Regular School,16.8803418803419
Regular School,20.5921855921856
Regular School,21.0
Regular School,22.9
Regular School,20.0
Regular School,21.6178266178266
Regular School,19.979242979243
Regular School,20.8
Regular School,21.0
Regular School,21.0
Regular School,17.3199023199023
Regular School,19.6
Regular School,25.0
Regular School,18.9
Regular School,25.0
Regular School,16.7582417582418
Regular School,17.9
Regular School,17.1733821733822
Regular School,19.0
Regular School,16.001221001221
Regular School,20.2
Regular School,17.6373626373626
Regular School,20.958485958486
Regular School,19.1758241758242
Regular School,20.0
Regular School,21.0
Regular School,15.6593406593407
Regular School,23.8
Regular School,17.3199023199023
Regular School,20.5
Regular School,20.2258852258852
Regular School,22.5457875457875
Regular School,22.8144078144078
Regular School,22.5946275946276
Regular School,22.5
Regular School,22.3748473748474
Regular School,21.8620268620269
Regular School,20.6166056166056
Regular School,18.5897435897436
Regular School,18.3
Regular School,18.6141636141636
Regular School,17.2
Regular School,22.3015873015873
Regular School,15.9035409035409
Regular School,20.1
Regular School,19.6398046398046
Regular School,23.8888888888889
Regular School,19.7521367521367
Regular School,24.98778998779
Regular School,18.8827838827839
Regular School,20.0
Regular School,20.9096459096459
Regular School,15.952380952381
Regular School,19.5
Regular School,22.0
Regular School,21.5689865689866
Regular School,20.2
Regular School,20.6166056166056
Regular School,18.5164835164835
Regular School,19.7619047619048
Regular School,23.0
Regular School,19.1514041514042
Regular School,20.6
Regular School,23.0586080586081
Regular School,19.4
Regular School,21.3980463980464
Regular School,21.8864468864469
Regular School,21.1
Regular School,22.5
Regular School,16.4
Regular School,15.4639804639805
Regular School,22.1306471306471
Regular School,21.0
Regular School,19.2735042735043
Regular School,16.2
Regular School,19.1514041514042
Regular School,19.2979242979243
Regular School,19.9255189255189
Regular School,19.0781440781441
Regular School,22.5213675213675
Regular School,19.9
Regular School,19.0
Regular School,21.6
Regular School,22.7899877899878
Regular School,17.9
Regular School,22.1306471306471
Regular School,15.6
Regular School,20.1
Regular School,15.0
Regular School,20.4798534798535
Regular School,23.8644688644689
Regular School,17.1245421245421
