rate_unemployment,percent_college,percent_married,median_income,percent_lunch,average_act
0.048025613660619,0.596376446904882,0.551724137931034,42212.0,0.647761194029851,16.9
0.0290782204129107,0.688314944834504,0.697515527950311,56046.0,0.178660049627792,22.032967032967
0.0574412532637076,0.864227642276423,0.873479318734793,52794.0,0.27154046997389,23.0
0.14711477488903,0.44593147751606,0.234836702954899,28302.0,0.882725832012678,15.4639804639805
0.0616740088105727,0.765008576329331,0.949099451840251,62034.0,0.183333333333333,23.962148962149
0.0559264390981232,0.831589639410868,0.826563213144683,112456.0,0.141564662054284,21.7887667887668
0.0298953662182362,0.944578313253012,0.922431865828092,151250.0,0.0956937799043062,24.4017094017094
0.0573929961089494,0.442076714451763,0.583898305084746,38688.0,0.478346456692913,18.6
0.0762362637362637,0.790061217140799,0.833190761334474,68285.0,0.133182844243792,22.8388278388278
0.067334167709637,0.520867719877387,0.664955070603338,73022.0,0.147058823529412,21.8131868131868
0.137545126353791,0.378086956521739,0.497788697788698,33631.0,0.647342995169082,14.5
0.0683039140445127,0.603402646502836,0.732739420935412,61543.0,0.195035460992908,21.0
0.0524218270999387,0.757201646090535,0.72883787661406,63716.0,0.337303111794084,21.7155067155067
0.0873239436619718,0.485180412371134,0.729885057471264,31817.0,0.843703703703704,14.1
0.0642804967129291,0.649963689179375,0.691114245416079,73036.0,0.130571249215317,22.008547008547
0.0799283154121864,0.427485750474984,0.635481635481635,38314.0,0.742982938910292,16.7094017094017
0.0343769183548189,0.614261650758001,0.959459459459459,53882.0,0.63102328099621,18.6385836385836
0.227663551401869,0.409668313338038,0.414565826330532,37025.0,0.469763365468887,19.8595848595849
0.131091617933723,0.505599336374948,0.574141048824593,44102.0,0.470383275261324,19.5
0.18599175985874,0.533368926855312,0.335990888382688,51838.0,0.682652457075192,16.953601953602
0.0671009771986971,0.60401814646792,0.714893617021277,50784.0,0.224732461355529,23.7
0.103869653767821,0.653301886792453,0.316991269308261,41470.0,0.736521739130435,19.1
0.137269938650307,0.462098642833499,0.568862275449102,28357.0,0.621794871794872,19.1
0.0627376425855513,0.565267616480554,0.21239837398374,30280.0,0.5,19.7
0.0782520325203252,0.295796986518636,0.41160409556314,32067.0,0.768052516411379,18.5
0.0629853321829163,0.953983940704138,0.854761904761905,122031.0,0.783557046979866,17.1001221001221
